train_loss,val_loss,train_acc,val_acc,val_f1,lr
0.08868773049560306,0.06108481424714725,0.47842507689261626,0.7190497944266788,0.5297817323349203,0.001
0.07713620455890638,0.052569167160072955,0.6013148118101427,0.7569666514390132,0.5532104374414374,0.0009972636867364526
0.07112305395082201,0.05033191861206127,0.6524659287533472,0.7744403837368662,0.5912739106207312,0.000989084726566536
0.06896473366197298,0.052041506419420354,0.6585179938438317,0.7802649611694837,0.6071023455745226,0.0009755527298894295
0.0659699559127768,0.044190776098286415,0.692682704113683,0.8415943353129283,0.6464754019746008,0.0009568159560924792
0.06349740211403643,0.04690014080486106,0.7124540607391685,0.8582686158063042,0.6643201574106034,0.0009330796891903274
0.06220112678096901,0.04368980214775779,0.7135070802330405,0.905207857469164,0.7105041581814676,0.0009046039886902865
0.06087348092939379,0.04206775663894516,0.734272331304213,0.8600959342165372,0.6729376469886124,0.0008717008403259585
0.059402873102549915,0.04271125725213933,0.7474485262901264,0.8375970762905436,0.6485665668098559,0.0008347307378762498
0.05972722940279864,0.04138122423768534,0.7455935495517415,0.9282777523983554,0.7476310792171142,0.0007940987335200904
0.05743432875786281,0.0417934805495165,0.769378450649723,0.9108040201005025,0.7232960533950137,0.00075025
0.057031123990474254,0.040726416413712684,0.7734967520788916,0.9417542256738236,0.7906800724152909,0.0007036649532163624
0.05578836898719075,0.03938783829807963,0.7740577971373401,0.9116034719049795,0.7246776257361401,0.0006548539886902864
0.05544387068261058,0.039563757043660316,0.7693182845694053,0.939584285061672,0.7864163748046027,0.0006043518895634709
0.05468389011370903,0.03779905042647226,0.7818250525175925,0.9144586569209685,0.7313953825173349,0.0005527119674021931
0.05471276140011199,0.03911165272082679,0.7789326872588771,0.9274783005938785,0.7511804425047354,0.0005005000000000002
0.053552849301172226,0.038529593072059005,0.7820085034478984,0.9150296939241663,0.7319012141294434,0.00044828803259780724
0.05302783067512217,0.03871714664464021,0.777056521178956,0.953631795340338,0.8043792308350612,0.0003966481104365292
0.05274875306345466,0.03804394023645245,0.7812428862804259,0.957286432160804,0.8170969662947035,0.00034614601130971383
0.05204664589677636,0.0379681155841173,0.7844953804942701,0.9352444038373686,0.7648327189800284,0.00029733504678363786
0.05130728931498136,0.03777592150982029,0.7924043153905,0.9426678848789402,0.7812654804971926,0.00025075000000000016
0.05073330045130662,0.03769433357301451,0.7963917504053085,0.9462083142987665,0.7889627283115864,0.00020690126647990976
0.05025717772074637,0.03805069600701223,0.8014304450739549,0.9417542256738236,0.802878754289232,0.0001662692621237505
0.05013577427946056,0.03718483584344578,0.8021974719724406,0.9547738693467337,0.8063640259310352,0.00012929915967404166
0.049190361326151295,0.03692189528312842,0.8034143548813104,0.9559159433531292,0.8115978571964682,9.639601130971383e-05
0.04850594746158109,0.037136423575545946,0.8114361952892999,0.9475788031064413,0.8099036305854671,6.792031080967288e-05
0.048934486858139586,0.03690600257695348,0.8110847694867335,0.953631795340338,0.8135434785318278,4.418404390752082e-05
0.048777545800191405,0.03686032997501283,0.8075395903280778,0.9620831429876656,0.8307044256383069,2.5447270110570814e-05
0.048893634237084475,0.03704075504548749,0.8091809943671239,0.952603928734582,0.8056104959572487,1.1915273433464061e-05
0.048748951142571516,0.03793945073461957,0.8104658851787164,0.9120603015075377,0.7489587673248042,3.736313263547436e-06
